dataset,thinking_mode,emb_model,auc,threshold,youden_j,f1_at_threshold,n_pos,n_neg,method,poincare_scale
sciq,thinking,minilm,0.940655209452202,0.8582612840674031,0.7743018259935552,0.8912280701754387,304,196,maxsim_span,
sciq,thinking,minilm,0.9340426960257788,0.94715617919088,0.7724892588614392,0.8916083916083917,304,196,poincare,0.05
simpleqa,no_thinking,bge-base,0.9757231404958676,0.7782730211564644,0.9127066115702478,0.6976744186046512,16,484,baseline,
simpleqa,no_thinking,bge-base,0.9375,0.07604641220696158,0.8695652173913042,0.4,4,92,helm,
simpleqa,no_thinking,bge-base,0.9759814049586776,0.7782730211564644,0.9127066115702478,0.6976744186046512,16,484,maxsim,
simpleqa,no_thinking,bge-base,0.9757231404958676,0.7782730211564644,0.9127066115702478,0.6976744186046512,16,484,maxsim_span,
simpleqa,no_thinking,bge-base,0.9757231404958676,0.9355094265099146,0.9127066115702478,0.6976744186046512,16,484,poincare,0.05
simpleqa,no_thinking,e5-base,0.9305268595041322,0.9404423434530672,0.8522727272727273,0.6829268292682927,16,484,baseline,
simpleqa,no_thinking,e5-base,0.861413043478261,0.08169224166461084,0.6847826086956523,0.46153846153846156,4,92,helm,
simpleqa,no_thinking,e5-base,0.9301394628099174,0.9018949593730908,0.8543388429752066,0.7000000000000001,16,484,maxsim,
simpleqa,no_thinking,e5-base,0.9307851239669422,0.901894854540801,0.8543388429752066,0.7000000000000001,16,484,maxsim_span,
simpleqa,no_thinking,e5-base,0.9305268595041324,0.9660344189734914,0.8522727272727273,0.6829268292682927,16,484,poincare,0.05
simpleqa,no_thinking,minilm,0.9329803719008264,0.8097372588200785,0.8357438016528924,0.5714285714285714,16,484,baseline,
simpleqa,no_thinking,minilm,0.8206521739130436,0.0747593053097102,0.6086956521739131,0.3,4,92,helm,
simpleqa,no_thinking,minilm,0.9327221074380164,0.809737149045695,0.8357438016528924,0.5714285714285714,16,484,maxsim,
simpleqa,no_thinking,minilm,0.9329803719008264,0.8097372588200785,0.8357438016528924,0.5714285714285714,16,484,maxsim_span,
simpleqa,no_thinking,minilm,0.9329803719008264,0.9402549374642684,0.8357438016528924,0.5714285714285714,16,484,poincare,0.05
simpleqa,thinking,bge-base,0.9341425619834712,0.8721059273235762,0.875,0.9333333333333332,16,484,baseline,
simpleqa,thinking,bge-base,1.0,0.1610042228409962,1.0,1.0,6,98,helm,
simpleqa,thinking,bge-base,0.981146694214876,0.8721059330144719,0.875,0.9333333333333332,16,484,maxsim,
simpleqa,thinking,bge-base,0.9350464876033058,0.8721059273235762,0.875,0.9333333333333332,16,484,maxsim_span,
simpleqa,thinking,bge-base,0.9341425619834712,0.950520171591984,0.875,0.9333333333333332,16,484,poincare,0.05
simpleqa,thinking,e5-base,0.8855888429752067,0.954684818809356,0.8729338842975207,0.9032258064516128,16,484,baseline,
simpleqa,thinking,e5-base,1.0,0.171961837547045,1.0,1.0,6,98,helm,
simpleqa,thinking,e5-base,0.9283316115702478,0.9176243387874048,0.868801652892562,0.8484848484848485,16,484,maxsim,
simpleqa,thinking,e5-base,0.909736570247934,0.9176243983920496,0.868801652892562,0.8484848484848485,16,484,maxsim_span,
simpleqa,thinking,e5-base,0.8855888429752067,0.970089854607031,0.8729338842975207,0.9032258064516128,16,484,poincare,0.05
simpleqa,thinking,minilm,0.8790030991735537,0.9121521154802348,0.875,0.9333333333333332,16,484,baseline,
simpleqa,thinking,minilm,1.0,0.1983486162358193,1.0,1.0,6,98,helm,
simpleqa,thinking,minilm,0.9176136363636364,0.9133603639488844,0.875,0.9333333333333332,16,484,maxsim,
simpleqa,thinking,minilm,0.8933367768595042,0.9163310719494844,0.875,0.9333333333333332,16,484,maxsim_span,
simpleqa,thinking,minilm,0.8790030991735537,0.9590157566957138,0.875,0.9333333333333332,16,484,poincare,0.05
truthfulqa,no_thinking,bge-base,0.7431683194395058,0.8231607107960398,0.3961387012234469,0.5996204933586338,286,531,baseline,
truthfulqa,no_thinking,bge-base,0.7953185263997871,0.1518870190384999,0.4958106131134459,0.7218934911242603,73,103,helm,
truthfulqa,no_thinking,bge-base,0.7067743932150712,0.8349498917709044,0.3339852238157323,0.5689655172413792,286,531,maxsim,
truthfulqa,no_thinking,bge-base,0.7431683194395058,0.8231607107960398,0.3961387012234469,0.5996204933586338,286,531,maxsim_span,
truthfulqa,no_thinking,bge-base,0.7431683194395058,0.9420521352159318,0.3996352047199505,0.6022727272727273,286,531,poincare,0.05
truthfulqa,no_thinking,e5-base,0.7835460208341565,0.8507079461112095,0.4862181133367573,0.6688102893890675,286,531,baseline,
truthfulqa,no_thinking,e5-base,0.8159329698098151,0.24772146624985653,0.5101742252959169,0.7092198581560283,73,103,helm,
truthfulqa,no_thinking,e5-base,0.7015460998511847,0.8798255572965996,0.3197358197358197,0.554561717352415,286,531,maxsim,
truthfulqa,no_thinking,e5-base,0.771041576126322,0.849700771084982,0.468465621007994,0.6580645161290323,286,531,maxsim_span,
truthfulqa,no_thinking,e5-base,0.7835493132103302,0.9461762389945024,0.486751478276902,0.669811320754717,286,531,poincare,0.05
truthfulqa,no_thinking,minilm,0.723354799625986,0.8079525277243187,0.3463711429813125,0.5682656826568266,286,531,baseline,
truthfulqa,no_thinking,minilm,0.8068892139912223,0.3122160474596611,0.5432903311610586,0.7285714285714286,73,103,helm,
truthfulqa,no_thinking,minilm,0.6765042866737783,0.7636526128155503,0.273965206168596,0.5573294629898404,286,531,maxsim,
truthfulqa,no_thinking,minilm,0.723354799625986,0.8079525277243187,0.3463711429813125,0.5682656826568266,286,531,maxsim_span,
truthfulqa,no_thinking,minilm,0.723354799625986,0.9397864991696036,0.3463711429813125,0.5682656826568266,286,531,poincare,0.05
truthfulqa,thinking,bge-base,0.8007406858751203,0.7928573610495083,0.4975779571883563,0.6258992805755396,230,587,baseline,
truthfulqa,thinking,bge-base,0.8983011937557392,0.16331257143914327,0.6590909090909092,0.6373626373626373,33,132,helm,
truthfulqa,thinking,bge-base,0.7437856455077402,0.8415209665969389,0.3728390489593365,0.55078125,230,587,maxsim,
truthfulqa,thinking,bge-base,0.7074957410562179,0.6851323544979095,0.3207910525146284,0.5194805194805195,230,587,maxsim_span,
truthfulqa,thinking,bge-base,0.8007406858751204,0.937568499814326,0.4975779571883563,0.6258992805755396,230,587,poincare,0.05
truthfulqa,thinking,e5-base,0.8132730908821569,0.8563771996665839,0.5452781275461076,0.6590909090909091,230,587,baseline,
truthfulqa,thinking,e5-base,0.890495867768595,0.20713573762089313,0.643939393939394,0.6363636363636364,33,132,helm,
truthfulqa,thinking,e5-base,0.726701725798089,0.8547785806296458,0.3412043552329455,0.5377643504531723,230,587,maxsim,
truthfulqa,thinking,e5-base,0.716406192133916,0.7858445380800334,0.3423746389156359,0.5375,230,587,maxsim_span,
truthfulqa,thinking,e5-base,0.8132730908821569,0.947892674848662,0.5365824753721946,0.6539923954372623,230,587,poincare,0.05
truthfulqa,thinking,minilm,0.7628842307977187,0.8123978337450843,0.4075475890674764,0.5746102449888641,230,587,baseline,
truthfulqa,thinking,minilm,0.8585858585858586,0.34261304372219586,0.606060606060606,0.6575342465753425,33,132,helm,
truthfulqa,thinking,minilm,0.7018813421228057,0.8120373600916048,0.3177394267091327,0.518918918918919,230,587,maxsim,
truthfulqa,thinking,minilm,0.681082882749426,0.4057366551466324,0.2719428190504407,0.5057803468208093,230,587,maxsim_span,
truthfulqa,thinking,minilm,0.7628842307977187,0.9404016637322892,0.4058440115546995,0.5733333333333333,230,587,poincare,0.05
